time_s,ch0_std_kPa,ch1_std_kPa,ch2_std_kPa,ch3_std_kPa,ch4_std_kPa,ch5_std_kPa,ch6_std_kPa,ch7_std_kPa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0010606601717798203,0.002192031021678299,0.006434671708797581,0.008626702730475881,0.014990663761154805,0.0,0.005374011537017763,0.006434671708797581
0.1,0.013617268448554577,0.0038214307966170694,0.004626373669877231,0.007514208762959234,0.010599999999999998,0.0052538874496255925,0.004025336424863559,0.008312841471683034
0.15,0.011188498558787948,0.003162672920173698,0.003973663297261104,0.007071715963375981,0.009176555272359374,0.005273202695389841,0.006222204861086892,0.0070135582980395935
0.2,0.010214058938541524,0.002758079041652001,0.004091821110459249,0.006208220356913888,0.007947137849565715,0.005319492456992489,0.005391938426948143,0.006095654189666604
0.25,0.010165431618972211,0.003313859783796939,0.004554411780533975,0.005715825982888796,0.007133769457072932,0.004885761626058588,0.0048246934272207056,0.006733696359850708
0.3,0.011222956914501717,0.005025269478678072,0.004175894543459548,0.005999285671763645,0.00652887359934242,0.006192699234544158,0.00500380807366702,0.006221123769254311
0.35,0.010788676272568647,0.004917007655649349,0.004536754661334777,0.008265764159644112,0.006056106717308451,0.006431493383566301,0.005467681017971487,0.0057670864146712525
0.4,0.011846424683328628,0.004899234634103579,0.006179356313115821,0.007747006590361926,0.005722348973784957,0.006177805255734252,0.005129841886235655,0.00544765494909915
0.45,0.011205078213817955,0.004715459209404273,0.005988173529735266,0.00766858671609197,0.005993524283202103,0.005943633381844623,0.004847966354852081,0.0051387525507439824
0.5,0.010700322849844722,0.004506278448403458,0.005787070227514243,0.00757084119260445,0.005754176348926526,0.005781066274721926,0.004603358457790257,0.004939120274999293
0.55,0.010261442246083002,0.0042967482419319705,0.005600730471838631,0.007263044690886749,0.005575351599185957,0.005553459200436163,0.004392443580293389,0.004713713070297228
0.6,0.010745374675788504,0.0041903888810418295,0.006333225370199887,0.00785223306471249,0.00535757312069464,0.005320087718575071,0.004215675874272485,0.006576999549712856
0.65,0.01065646633388736,0.004087995021609409,0.006336428778920312,0.007642050383629649,0.005147393451122548,0.005113889726213121,0.00405371217744704,0.006349405094569497
0.7,0.010382022006930102,0.0039742025255748775,0.0061175158356967,0.007397863269375892,0.005332175469552292,0.005252681854697336,0.004120471540283432,0.006495185029806972
0.75,0.010186999476456907,0.0038940766984399975,0.006501781807063856,0.007534985069660059,0.005191387097876633,0.005081059600778822,0.004153387171935698,0.0065769167041504605
0.8,0.010331925109609933,0.003889484314828141,0.006296217351805475,0.007516139497187135,0.005115324439138443,0.004925250068300502,0.004593913812605439,0.006381602693773445
0.85,0.010431978550140344,0.0038119008690276996,0.006393470934338811,0.007536822461120967,0.004967304867537203,0.004811726552735581,0.004711382406789597,0.00619970482114117
0.9,0.010218659117127197,0.0038074565192788273,0.00644922135923018,0.007607517826819739,0.004854466804214068,0.004705123498326362,0.0045937409744510925,0.006362417062500146
0.95,0.010189998966995453,0.00373643159346342,0.006476890091946736,0.00762347309992389,0.004748617527349681,0.004663915228984965,0.004670543189417109,0.006311151367139546
1.0,0.010486163218623817,0.0036436245690246428,0.006315185779418633,0.007697163979891123,0.004649116659569395,0.004548034635710136,0.004552649673280282,0.006529136163966796
1.05,0.010241623121158294,0.0035812885538068166,0.006165103932092824,0.007926278284660932,0.004788742661394142,0.004442399511515528,0.006077087762324626,0.006518593120992925
1.1,0.010095627746937933,0.003570426398069513,0.006075870763404761,0.007745525292408255,0.004743220666645195,0.004343802090426139,0.00597864777763433,0.0063781091774790044
1.15,0.009915372890880977,0.0036301774620253924,0.005943404577429878,0.00791840179307174,0.0046961111725477185,0.004318394679588196,0.005983376730697253,0.006307792224988327
1.2,0.009884621051579738,0.004494526300586825,0.005967601416538021,0.007840227462686696,0.004613397157554648,0.004256062342901787,0.00589100161262922,0.006286559737514099
1.25,0.01166616738858403,0.004408153285063418,0.00609265004865572,0.007682352404149296,0.0045268090306528255,0.004374316649929009,0.005960531726409863,0.00616374511528128
1.3,0.011475147182019184,0.004453447078745958,0.005989370927114469,0.00753591590253159,0.0044539364451628444,0.004304552681658546,0.005879344789744451,0.0064508816950766225
1.35,0.011440262951615945,0.004486181015721516,0.005880314212531094,0.0074547266707405005,0.004444560018338569,0.004230094999371018,0.005876726358987014,0.006594669765209575
1.4,0.012997007044632492,0.004576220933210795,0.005775280685393034,0.007462442910146257,0.004648608033621064,0.004159356477319383,0.005775157004241996,0.006677375225451826
1.45,0.01282910484151107,0.004509178379169807,0.005713570254881899,0.008053011145264058,0.004620712986731281,0.0041553400071128515,0.005745879083028259,0.006562260614134133
1.5,0.012710776902391356,0.0044388000897268584,0.005636665681056483,0.007926408833087487,0.004709359246875207,0.004436297012463851,0.0056720688986822,0.0064661866577197654
1.55,0.012627389186260567,0.004408258378938773,0.0056178206872588505,0.00779949336650744,0.0047810782965163135,0.004403352828133609,0.00564570919000125,0.0068587094384651055
1.6,0.012579083920251397,0.004344617446631611,0.005539655593167237,0.0077027297404586035,0.00474450240070579,0.004410958289340653,0.005562041605218525,0.0068913043582166465
1.65,0.012413324449393805,0.0042888156166871316,0.005485820321422353,0.007609207294496838,0.004707668110374087,0.004350918316410735,0.005498816109820887,0.0067917383229490905
1.7,0.012495365863680299,0.004225409333261509,0.0054329480367244325,0.007593982580212536,0.004638010657290778,0.004294700662620458,0.005425309502072426,0.006771843585480875
1.75,0.012401358092551095,0.004170290804827095,0.0053810779589223545,0.007540057576303266,0.004571356646259572,0.004584951229596425,0.005703874344661056,0.006793799110159672
1.8,0.012405024773842237,0.004112136873897766,0.005312330548436894,0.007435438840495615,0.004507496258736384,0.004575195888420233,0.005626405730254573,0.0067685691640500005
1.85,0.012261635980873587,0.004056350061067611,0.005688277481912913,0.0073426538897793945,0.004446239640604013,0.004513504314263927,0.00555976771724335,0.0066987164648132525
1.9,0.01263963839828522,0.004108292854147403,0.005639519796557367,0.007324520222596704,0.0043963133248441704,0.004523040430599984,0.005500803523687051,0.006630741598271639
1.95,0.01248035353501552,0.004107603955642544,0.005655956696602806,0.007230330967351073,0.004345164568598652,0.004516146956569651,0.005431871755595011,0.006657152987384013
2.0,0.01239799501886514,0.004146863345922568,0.0058218993631908396,0.007139684696187614,0.004299127818523192,0.004479119578122685,0.0053654677244802315,0.006577034137723513
2.05,0.012258561681321896,0.0041126190326581024,0.0057506834416839155,0.007052364699257666,0.004274987349792122,0.004424761389788395,0.005364676158945673,0.006532737179181847
2.1,0.012175016173547167,0.004076717242745432,0.005684663948572058,0.007167065841725154,0.004447054097260854,0.004455515327409346,0.005362408633868664,0.006644938289604104
2.15,0.012070509026576987,0.004110109101806503,0.005618417219354568,0.007145561463299635,0.0044001891896670265,0.004405524592424934,0.005329071808720048,0.0066542678924080235
2.2,0.012598078657421767,0.004138270511733476,0.005617956420570944,0.007077994779668187,0.004406449588931883,0.004370917431377443,0.005281093588921667,0.006588385096654426
2.25,0.012457868902205588,0.004104279020753006,0.005614820364844146,0.007352172113233525,0.00440709572775804,0.004333892940454767,0.005359477586481731,0.006563241216479892
2.3,0.012537556531249742,0.004101093015562338,0.005555058699130574,0.00727191765004068,0.004379223084019751,0.0043017422196081545,0.005314451524346175,0.00650004269536963
2.35,0.012466247871469096,0.004091986958618461,0.00549633662652286,0.007243433991754726,0.004413227618669174,0.0042568462796097,0.005265180265380321,0.0064530680893631846
2.4,0.012391513581622602,0.00405007663486746,0.005467365300886093,0.007314853609836176,0.0043754047431828124,0.004213327171053789,0.005586620009384182,0.006432676599308603
2.45,0.012610430570907303,0.0040094281744052105,0.005412556829130884,0.007423808638015769,0.004330822139982575,0.004392026169952885,0.005544232524499158,0.006367787556706561
2.5,0.012552368017913706,0.003977475355559309,0.005233535894515639,0.007509446839597088,0.004250716146145497,0.004371130241921043,0.005577608660290445,0.006331392792575542
2.55,0.012769793599405927,0.004017909396485611,0.005280354425333852,0.007368583337939747,0.0036329495522205617,0.004374098624346528,0.005467490563432599,0.006374561689613949
2.6,0.012770783141249261,0.004214937479866539,0.005280354425333852,0.007451197410963077,0.0035963042254003818,0.004374098624346528,0.005394163134200465,0.0063376069004388216
2.65,0.012851911475396514,0.004214937479866539,0.00526880267543329,0.007409350132619939,0.003611110406418907,0.004231285326021406,0.0053813950091865575,0.006414715225835938
2.7,0.012841330117385561,0.004220366557249623,0.0054379903250658815,0.007394269430319892,0.003611110406418907,0.004595572403334073,0.005728925532340427,0.006439908733033093
2.75,0.0127866896675043,0.004171133061939907,0.00533547274266817,0.007686882545304444,0.00361454036369997,0.004688065612134013,0.005790632829961556,0.0063437660223985845
2.8,0.012652486889532664,0.0038715898753955494,0.005423065252667884,0.007713388572171515,0.003855860104160565,0.0046847490294985635,0.005814269568247149,0.006337903149033645
2.85,0.012948286625288007,0.0038580612663219717,0.005520943796866905,0.007476618246785324,0.003846907583915119,0.004631887700869847,0.005676482095417181,0.006343269291628919
2.9,0.012683208407583788,0.003751568923497891,0.005373161194724173,0.007483542760277244,0.003857722707737805,0.004643617959641169,0.005759756584992749,0.006360180975476745
2.95,0.01271933511290137,0.003824872413505039,0.005386911197049555,0.0075507685782606904,0.0037854803162200934,0.004635119266237371,0.005759756584992749,0.006477477778221006
3.0,0.012765167049275869,0.003799553679482017,0.005352749055296679,0.007491085586569287,0.003812612795253485,0.004620069793624243,0.0057568060872788315,0.006496342456038046
3.05,0.012771950133166104,0.003824872413505039,0.005282130445266968,0.007506806707167537,0.0037794120048019104,0.004648151267340769,0.0057568060872788315,0.006698522529754799
3.1,0.012700200866160203,0.0038356379348612876,0.005130047937079594,0.007285393830487554,0.003757910839489277,0.004648151267340769,0.005745935209221509,0.00622342152760072
3.15,0.012832398570073504,0.0038356379348612876,0.005107565017516976,0.007399213692366651,0.0037483106398831473,0.004639904995508734,0.005746553181637472,0.006207034850285041
3.2,0.012901128094955456,0.003906940449183916,0.00519999372056135,0.007452479110870368,0.0036627323357386198,0.004569750138304125,0.005827520913733385,0.006145423052141805
3.25,0.012949178683276736,0.003986674231558362,0.005038028444961863,0.007334092601386643,0.0036627323357386198,0.0046513969812897035,0.005811187310626259,0.0061442486795974215
3.3,0.012916326640246873,0.003986674231558362,0.005070161209850975,0.007256327288255797,0.0036458693428736717,0.0046443562414999065,0.0056236976723686065,0.006180096095943979
3.35,0.012846797266245002,0.003961446859985607,0.004923309406304262,0.007213691347510155,0.0037007384811848596,0.0046443562414999065,0.00568227641936948,0.006219951112085581
3.4,0.012935526779425126,0.003967122537115513,0.004943674994270917,0.007111337599142626,0.0036958470902197357,0.004627193798511097,0.005723100344308178,0.006236410859473837
3.45,0.01347216707565215,0.004146079534958791,0.004880055620291927,0.007213691347510155,0.0037499844897638385,0.004650100284194008,0.005688011022119691,0.006407497203133465
3.5,0.013262791438256653,0.0042541811365828285,0.004888635718037644,0.007229266200377351,0.0038411924169030414,0.004652344592147232,0.005754226485721568,0.0063663621752880735
3.55,0.014111339918154987,0.004263065870033551,0.004974884266934026,0.00727977236692781,0.003711616623411373,0.0046463661465006075,0.005141127089958194,0.006445113953806477
3.6,0.014120152193201877,0.004609484897513839,0.00511711813027446,0.007287719892016282,0.003711616623411373,0.0046395882998210855,0.00536794149729366,0.00666111959701327
3.65,0.014084379681775418,0.00458441058459681,0.005113617274753066,0.007144932269997886,0.003713527944679874,0.004651192078930089,0.005322621726256363,0.00666111959701327
3.7,0.014219819454062085,0.004158799375408478,0.005003812424093262,0.007144932269997886,0.003732349481635018,0.004678471754663443,0.005338030287188216,0.006735310849908704
3.75,0.013552410132820042,0.004205227068052039,0.00492727726279836,0.007277109764914382,0.0037493640277045477,0.004628626542881736,0.005209119162486063,0.006730586898629268
3.8,0.01375406967602903,0.004112462393600153,0.0050700903667026025,0.0073125511336080695,0.003952353470931421,0.004624954495087773,0.0052697457631429604,0.006587494646243415
3.85,0.013977410492706894,0.004039652440091187,0.0050700903667026025,0.0073125511336080695,0.004021168476744955,0.004735230098066262,0.0052019007515110615,0.0064692680089348965
3.9,0.013152304678927834,0.00388946300264954,0.0050700903667026025,0.007239003201196888,0.0038160477471021327,0.004730158991157975,0.005228429350138304,0.0064403146709787725
3.95,0.013169652188858683,0.0038692698251209905,0.0050700903667026025,0.006781908707309892,0.003740036559899884,0.004690712055950219,0.005212928982005077,0.00643320467954965
4.0,0.013127313168368014,0.003951189952510042,0.005063474647927449,0.006791966743506477,0.003679244043916341,0.004551942397684388,0.005246104871857835,0.006581578806930495
4.05,0.013210864576444001,0.004067576623966254,0.004998425874661913,0.006774695113254251,0.003600396803528346,0.004584401236135151,0.00524593875959181,0.006319565988714273
4.1,0.013165759703542695,0.0042990388104642095,0.005026028577844143,0.006797034467399766,0.0036659492186157435,0.004584401236135151,0.0052328947777594325,0.006356596766271989
4.15,0.013165759703542695,0.0042990388104642095,0.004988861470867887,0.006797034467399766,0.003663233767131583,0.004580493244984309,0.005191152599001723,0.0066789660693180606
4.2,0.013248463291711867,0.004321517118337218,0.0050628785068881615,0.006754238578515732,0.00366444583331588,0.00457437405107886,0.0052328947777594325,0.006645349455653556
4.25,0.013331415253192787,0.004329584982703187,0.005024911005405448,0.006677700936394079,0.0037045498776394365,0.004325599639922524,0.004894943663556061,0.006670703845616162
4.3,0.01324721672731326,0.004329584982703187,0.005024911005405448,0.006677700936394079,0.003741419571254106,0.004681557825496683,0.004888148516398333,0.006591867593280892
4.35,0.013307883347237214,0.0043173711767174935,0.004718611002818337,0.006686968441586629,0.0038164311783098503,0.004717495011515465,0.004888148516398333,0.006587606173872319
4.4,0.013479326725752734,0.004390446028199253,0.004845381137469668,0.006680393487127622,0.004142524617196815,0.004748405102811678,0.0048452749969344604,0.0066656013094338615
4.45,0.013529114335161692,0.004383775280997612,0.004906680161176346,0.0067308819205637105,0.004146239505963967,0.004703706311115129,0.005030707338588725,0.00661248046947464
4.5,0.01349546877848341,0.004356392909698739,0.004735003825182161,0.006769773456553861,0.004301921734788405,0.004771013241119604,0.005003425765188781,0.006631196832289879
4.55,0.013634530143899277,0.004357355498324125,0.004899594318899864,0.0067855500732010195,0.004301921734788405,0.004872214012926248,0.0048671057485272255,0.006618521938700598
4.6,0.013609879964682324,0.004350429957639418,0.004905832014562051,0.006714468386572812,0.004137681496111715,0.00480438787538461,0.004890198860778467,0.006543744169441677
4.65,0.013609879964682324,0.004335260743517706,0.005012643605760063,0.006889320039905599,0.004280591700468805,0.004848311298687342,0.004890719658241519,0.006483613567907874
4.7,0.013165058887456758,0.004414181690868646,0.005518429605070844,0.007144485528670888,0.0042341705208930784,0.004813604869194649,0.004829938944135988,0.006483613567907874
4.75,0.013613483861860745,0.004423326387067835,0.005513210850090075,0.006897815093290373,0.004239299133448487,0.004813604869194649,0.004785029375296333,0.0064400877798555505
4.8,0.013431803410456206,0.004369926912946002,0.005515647870248003,0.006904154324663918,0.0042167794074896205,0.0047791387662358695,0.004724633232714821,0.0064732860784196085
4.85,0.013406933326622085,0.004369926912946002,0.005518932535058797,0.006881922192325664,0.004128986138341006,0.004783953194092207,0.004732620622782214,0.006560642079080051
4.9,0.013434664271266057,0.004401608704061896,0.005558932506537996,0.0069274446801052365,0.0041313910292702415,0.004796025565454121,0.004478839135311722,0.0065397937307545275
