time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
3.55,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
3.6,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0473,0.0975
3.65,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
3.7,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
3.75,0.0244,0.0152,0.0303,0.0327,0.0614,0.0164,0.0473,0.0975
3.8,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.0944
3.85,0.0229,0.0167,0.0288,0.0358,0.0614,0.0164,0.0473,0.0959
3.9,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0488,0.099
3.95,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0975
4.0,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0959
4.05,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0975
4.1,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0944
4.15,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
4.2,0.0244,0.0167,0.0273,0.0327,0.0614,0.0164,0.0473,0.0975
4.25,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
4.3,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0975
4.35,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0488,0.0975
4.4,0.0229,0.0167,0.0273,0.0342,0.0629,0.0179,0.0473,0.0975
4.45,0.0229,0.0167,0.0288,0.0358,0.0614,0.0164,0.0473,0.0975
4.5,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0473,0.0959
4.55,0.0229,0.0167,0.0288,0.0327,0.0614,0.0179,0.0458,0.0975
4.6,0.0244,0.0167,0.0303,0.0342,0.0614,0.0179,0.0473,0.0944
4.65,0.0229,0.0167,0.0303,0.0342,0.0629,0.0164,0.0458,0.0944
4.7,0.0229,0.0167,0.0288,0.0327,0.0629,0.0164,0.0458,0.0975
4.75,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0959
4.8,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0944
4.85,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0959
4.9,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0975
4.95,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0473,0.0959
5.0,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0975
5.05,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0473,0.0975
5.1,0.0229,0.0167,0.0303,0.0358,0.0614,0.0164,0.0458,0.0959
5.15,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
5.2,0.0229,0.0167,0.0273,0.0312,0.0614,0.0164,0.0458,0.0959
5.25,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
5.3,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0944
5.35,0.0229,0.0152,0.0288,0.0342,0.0629,0.0164,0.0473,0.0959
5.4,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
5.45,0.0229,0.0167,0.0273,0.0312,0.0629,0.0164,0.0458,0.0959
5.5,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0975
5.55,0.0244,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0959
5.6,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0959
5.65,0.0229,0.0182,0.0273,0.0327,0.0614,0.0179,0.0473,0.0959
5.7,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0975
5.75,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0473,0.0975
5.8,0.0229,0.0167,0.0288,0.0342,0.0629,0.0179,0.0473,0.0975
5.85,0.0244,0.0167,0.0288,0.0342,0.0614,0.0179,0.0488,0.0959
5.9,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0975
5.95,0.0229,0.0167,0.0303,0.0342,0.0629,0.0164,0.0473,0.0975
6.0,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0488,0.0975
6.05,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0488,0.0944
6.1,0.0229,0.0167,0.0288,0.0342,0.0629,0.0179,0.0458,0.0975
6.15,0.0244,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
6.2,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0442,0.0944
6.25,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0473,0.0959
6.3,0.0229,0.0167,0.0288,0.0342,0.0629,0.0164,0.0473,0.0959
6.35,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0959
6.4,0.0244,0.0167,0.0303,0.0342,0.0614,0.0179,0.0473,0.0975
6.45,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
6.5,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0442,0.0959
6.55,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
6.6,0.0229,0.0152,0.0258,0.0327,0.0614,0.0148,0.0442,0.0929
6.65,0.0229,0.0152,0.0258,0.0327,0.0614,0.0164,0.0442,0.0944
6.7,0.0229,0.0152,0.0258,0.0327,0.0614,0.0164,0.0458,0.0944
6.75,0.0229,0.0152,0.0258,0.0327,0.0598,0.0164,0.0458,0.0944
6.8,0.0229,0.0152,0.0288,0.0327,0.0614,0.0164,0.0473,0.0944
6.85,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0944
6.9,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0442,0.0944
6.95,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
7.0,0.0229,0.0167,0.0273,0.0342,0.0598,0.0164,0.0442,0.0959
7.05,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
7.1,0.0244,0.0167,0.0273,0.0342,0.0614,0.0164,0.0473,0.0959
7.15,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
7.2,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0944
7.25,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0488,0.0975
7.3,0.0244,0.0167,0.0288,0.0342,0.0629,0.0164,0.0473,0.0959
7.35,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0959
7.4,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
7.45,0.0244,0.0167,0.0303,0.0342,0.0629,0.0164,0.0473,0.0959
7.5,0.0244,0.0167,0.0288,0.0342,0.0629,0.0164,0.0473,0.0959
7.55,0.0229,0.0167,0.0288,0.0342,0.0629,0.0164,0.0458,0.0959
7.6,0.0244,0.0167,0.0303,0.0358,0.0629,0.0164,0.0488,0.0959
7.65,0.0229,0.0167,0.0303,0.0358,0.0614,0.0164,0.0488,0.0975
7.7,0.0244,0.0167,0.0288,0.0358,0.0614,0.0164,0.0473,0.0959
7.75,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0959
7.8,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0975
7.85,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0975
7.9,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0975
7.95,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
8.0,0.0229,0.0167,0.0288,0.0312,0.0614,0.0164,0.0458,0.0944
8.05,0.0229,0.0152,0.0273,0.0342,0.0614,0.0164,0.0473,0.0959
8.1,0.0229,0.0167,0.0288,0.0327,0.0614,0.0179,0.0458,0.0959
8.15,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0458,0.0944
8.2,0.0214,0.0152,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
8.25,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0944
8.3,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
8.35,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
8.4,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
8.45,0.0229,0.0167,0.0273,0.0312,0.0614,0.0164,0.0458,0.0944
8.5,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0473,0.0975
8.55,0.0229,0.0167,0.0303,0.0358,0.0614,0.0179,0.0473,0.0959
