time_s,ch0_std_kPa,ch1_std_kPa,ch2_std_kPa,ch3_std_kPa,ch4_std_kPa,ch5_std_kPa,ch6_std_kPa,ch7_std_kPa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0011313708498984741,0.0,0.0,0.0,0.0,0.0,0.0,0.0010606601717798223
0.1,0.0009237604307033998,0.0017897858344878398,0.0008660254037844393,0.0017320508075688787,0.0008660254037844393,0.0009237604307034017,0.0008660254037844393,0.0008660254037844393
0.15,0.0007999999999999991,0.0017897858344878396,0.0007500000000000007,0.0014361406616345085,0.0014361406616345085,0.0009237604307034017,0.0007500000000000007,0.0007500000000000007
0.2,0.0007155417527999321,0.0016979399282660147,0.00082158383625775,0.0015000000000000013,0.0019557607215607933,0.0008763560920082664,0.0008215838362577494,0.0010606601717798223
0.25,0.0006531972647421804,0.0016008331164323987,0.00082158383625775,0.0014747881203752639,0.001816590212458494,0.0008262364471909162,0.0008215838362577492,0.0011291589790636224
0.3,0.0006047431568147632,0.001476966002123465,0.0008017837257372739,0.0017241975359155184,0.0019086270308410539,0.0008552359741197586,0.0008017837257372736,0.0011338934190276825
0.35,0.0008288330867637257,0.0014230249470757704,0.0010606601717798223,0.0016131158845981459,0.001792842914001589,0.0008280786712108254,0.000776323754260149,0.0012517844405944222
0.4,0.0009248122932670053,0.0013702189606044717,0.0010000000000000009,0.0015210559197843818,0.0016955824957813157,0.0008000000000000004,0.0007500000000000006,0.0012500000000000011
0.45,0.0009700515450222217,0.0013206059215375339,0.0009486832980505146,0.0014431447143882234,0.001612451549659709,0.0007728734264634371,0.0007245688373094724,0.0011832159566199244
0.5,0.0009899494936611664,0.0012747192204203598,0.0009045340337332917,0.0013760946056272305,0.0015403659541574106,0.0007473589863950626,0.000700649049745371,0.0011261357902943238
0.55,0.000950916623181246,0.001232514060402926,0.0008660254037844393,0.0013175965262782856,0.0014943073798434317,0.0007877855422677299,0.0006784005252999685,0.0010766108438479119
0.6,0.0009631678502173478,0.0011937336386313316,0.0008320502943378443,0.001265974844810238,0.0014411533842457833,0.0007686151382644185,0.0007205766921228923,0.0010331058475817935
0.65,0.0009666982437687027,0.0011580582459871781,0.0009235918893223233,0.0012199801835897364,0.0013931740974960972,0.000750091569501593,0.0009693092589882947,0.001238130458783335
0.7,0.0009414780679234924,0.0011251666543228155,0.0009819805060619661,0.0011786594483726388,0.0013496031162636558,0.0007323803331473018,0.0009486832980505127,0.0012247448713915878
0.75,0.0009178779875342909,0.0010947602477255,0.0009486832980505141,0.0011412712210513317,0.0013098186897429734,0.0007659416862050708,0.0009287087810503345,0.0012093386622447806
0.8,0.0009236675617915151,0.0010665709209479522,0.0009879792210246486,0.0011434918143177783,0.001273312031440748,0.0007514691493021797,0.0009095085938862476,0.001192809338346684
