time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0014221493110910435,0.0002568333709125664,0.0003637223833171782,-0.0004683384174078751,-0.00011544501438627662,0.0012993232683180332,0.0009835110669454688,-2.7787336987981936e-05
0.05,0.0055639811025084175,0.004288242032361924,0.003708185666115007,0.0026294101565830933,0.003288030301120259,0.005259440170076241,0.0037025842864750447,0.0020914393129014
0.1,0.007934273751583204,0.006837640280956003,0.005685939043361692,0.004722703560281063,0.00585290663514687,0.007638880728705312,0.005325036134888535,0.003521758023554892
0.15,0.008438140762569017,0.00763405882425696,0.006259415217614753,0.005645762712627763,0.007189949715805113,0.008191246108078936,0.005771084844020326,0.004157304724122177
0.2,0.007820221427501692,0.007164628421314296,0.005984701599574703,0.005663269219837873,0.007405348256936224,0.007491683435032537,0.005365760227407619,0.0041795217393690905
0.25,0.007098117264674075,0.00628500814315366,0.0055542754782411064,0.0052165817922726005,0.006955388271389385,0.0064782670230442195,0.004597548677015855,0.003875100904222835
0.3,0.0069312707116121666,0.005702273817209781,0.005369485125861915,0.004670173546524859,0.006348271019996047,0.005870026655665111,0.00388293045519342,0.0034666200643110943
0.35,0.007339035133284679,0.00565594543079652,0.005418263381372381,0.004195454113398249,0.0058907557483787645,0.005845020302048551,0.0034537996427915344,0.003061934380087889
0.4,0.007885769286717182,0.005946794497152943,0.005466548058933314,0.0038044681582327096,0.0056229065139790065,0.006125226064578329,0.003367611445800399,0.0027132622574412265
0.45,0.008112456053017752,0.006216104478191164,0.005345316225129784,0.003453503645277383,0.005437950094322375,0.006315387433376405,0.0035657304019084215,0.002491950890488237
0.5,0.007867348806130662,0.006238144257569058,0.005095675616793344,0.003127488439408052,0.005257701898824941,0.0062077888269692445,0.003919635407453524,0.002493252278338573
0.55,0.007332809534904527,0.006032899362806426,0.0048984060913884585,0.002864958817032447,0.005117380552359504,0.005861796247921269,0.004264334853127909,0.0027660867196966604
0.6,0.006807417988338457,0.005770964257769967,0.004896767648825836,0.002733251771743624,0.005108632657602027,0.005475836542366053,0.004447618913506239,0.0032381313591958736
0.65,0.0064646815766553544,0.005591937557464186,0.005076181698773567,0.0027826760059720406,0.0052533084902780525,0.00520964181711856,0.004394921798980503,0.0037135818637130387
0.7,0.006271819998679603,0.0054919813418904985,0.005280459814038565,0.0030054454945562616,0.0054341665257209145,0.0050987263871464334,0.0041463698077611,0.003961094464985821
0.75,0.006086723633509703,0.005354476271096896,0.005324167502953876,0.0033201986827149583,0.005454711725264476,0.005086419345359464,0.0038255892493420543,0.003838348656667169
0.8,0.005812661731388011,0.00507854587068299,0.005106748250986548,0.003597497498745445,0.005187882235012188,0.005101659201770135,0.0035555159255696704,0.0033736087080546754
0.85,0.005476946500789312,0.004692277525713528,0.004662801551649831,0.003723100088133391,0.004694912269863095,0.005104314532443923,0.003387725227156569,0.0027558476240294324
0.9,0.005190369575212365,0.004358865950276921,0.004139447128830472,0.0036650794174469957,0.004213285861027536,0.00507964860154782,0.0033004457754958498,0.002241865473604234
0.95,0.005044167566175014,0.0042680867331333526,0.0037244801685466927,0.003494401858855586,0.0040109244835550666,0.005016285610323648,0.003253349608431173,0.0020310847982364082
1.0,0.005034484657840886,0.0044898194927233065,0.0035558425521298397,0.003333189175137719,0.0042054604195538945,0.004902773114199062,0.003233216355167957,0.00216859335410653
1.05,0.005065343803593578,0.004895328002767024,0.003648002154170275,0.0032618314829608755,0.004675422371412863,0.004742691276029595,0.0032419095761353875,0.002520991734761946
